Country,Dataset_Longitude ,Dataset_Latitude,Year,Status,Life expectancy ,Hepatitis B
Afghanistan,67.709953,33.93911,2015,Developing,65,65
Albania,20.168331,41.153332,2015,Developing,77.8,62
Algeria,1.659626,28.033886,2015,Developing,75.6,64
Angola,17.873887,-11.202692,2015,Developing,52.4,67
Antigua and Barbuda,-61.796428,17.060816,2015,Developing,76.4,68
Argentina,-63.616672,-38.416097,2015,Developing,76.3,66
Armenia,45.038189,40.069099,2015,Developing,74.8,63
Australia,133.775136,-25.274398,2015,Developed,82.8,64
Austria,14.550072,47.516231,2015,Developed,81.5,63
Azerbaijan,47.576927,40.143105,2015,Developing,72.7,64
Bahamas,-77.39628,25.03428,2015,Developing,76.1,66
Bahrain,50.637772,25.930414,2015,Developing,76.9,67
Bangladesh,90.356331,23.684994,2015,Developing,71.8,65
Barbados,-59.543198,13.193887,2015,Developing,75.5,64
Belarus,27.953389,53.709807,2015,Developing,72.3,63
Belgium,4.469936,50.503887,2015,Developed,81.1,62
Belize,-88.49765,17.189877,2015,Developing,71,99
Benin,2.315834,9.30769,2015,Developing,60,98
Bhutan,90.433601,27.514162,2015,Developing,69.8,99
Bolivia (Plurinational State of),-63.588653,-16.290154,2015,Developing,77,99
Bosnia and Herzegovina,17.6791,43.9159,2015,Developing,77.4,99
Botswana,24.684866,-22.328474,2015,Developing,65.7,99
Brazil,-51.92528,-14.235004,2015,Developing,75,98
Brunei Darussalam,114.727669,4.535277,2015,Developing,77.7,99
Bulgaria,25.48583,42.733883,2015,Developed,74.5,98
Burkina Faso,-1.561593,12.238333,2015,Developing,59.9,98
Burundi,29.918886,-3.373056,2015,Developing,59.6,98
Côte d'Ivoire,-5.54708,7.539989,2015,Developing,53.3,99
Cabo Verde,-24.013197,16.002082,2015,Developing,73.3,97
Cambodia,104.990963,12.565679,2015,Developing,68.7,96
Cameroon,12.354722,7.369722,2015,Developing,57.3,96
Canada,-106.346771,56.130366,2015,Developing,82.2,96
Central African Republic,20.939444,6.611111,2015,Developing,52.5,95
Chad,18.732207,15.454166,2015,Developing,53.1,95
Chile,-71.542969,-35.675147,2015,Developing,85,95
China,104.195397,35.86166,2015,Developing,76.1,95
Colombia,-74.297333,4.570868,2015,Developing,74.8,95
Comoros,43.872219,-11.875001,2015,Developing,63.5,95
Congo,15.8277,0.228,2015,Developing,64.7,94
Costa Rica,-83.753428,9.748917,2015,Developing,79.6,91
Croatia,15.2,45.1,2015,Developed,78,9
Cuba,-77.781167,21.521757,2015,Developing,79.1,8
Cyprus,33.429859,35.126413,2015,Developed,85,83
Czechia,15.472962,49.817492,2015,Developed,78.8,81
Democratic People's Republic of Korea,127.510093,40.339852,2015,Developing,76,
Democratic Republic of the Congo,21.758664,-4.038333,2015,Developing,59.8,
Denmark,9.501785,56.26392,2015,Developed,86,
Djibouti,42.590275,11.825138,2015,Developing,63.5,
Dominican Republic,-70.162651,18.735693,2015,Developing,73.9,64
